phone_test_id,brightness_pct,brightness_nits,apl,obs_screen_w,obs_total_w
366,83.0,415.0,0.7633986928104575,0.7479598180341466,2.499359363942875
367,81.0,405.0,0.4196078431372549,0.3039550750364901,1.549350472362781
368,79.0,395.0,0.4470588235294118,0.31987751096151035,3.2512744555246593
369,54.0,270.0,0.38169934640522873,0.4303818170192249,1.9860907616888823
37,43.0,215.0,0.5751633986928104,0.46168138865480873,2.0130114741214813
370,79.0,395.0,0.5581699346405229,0.5388539343629343,2.2774244196124003
371,60.0,300.0,0.26666666666666666,0.1938394950488922,1.7186706220320587
372,83.0,415.0,0.31241830065359477,0.44627058213254267,3.188273532102744
373,42.0,210.0,0.2627450980392157,0.17263290559519776,2.153337651354539
374,20.0,100.0,0.5320261437908497,0.21663556812650997,0.9855182125042271
375,68.0,340.0,0.6183006535947712,0.5271033259524978,4.361449362202167
376,78.0,390.0,0.8130718954248366,0.8510563469298754,2.219945070940481
377,82.0,410.0,0.7137254901960784,0.608088538858049,2.130394440888184
378,9.0,45.0,0.4562091503267974,0.17436240306944523,2.546145354002201
379,27.0,135.0,0.5738562091503269,0.34305173090697416,1.8432307220453608
38,6.0,30.0,0.6732026143790849,0.17094643395912484,2.117600895018117
380,34.0,170.0,0.4718954248366013,0.24727353991899972,2.0847987414859808
381,27.0,135.0,0.5555555555555555,0.23327730655807383,1.7522930681137523
382,67.0,335.0,0.4562091503267974,0.3297717264547347,1.86153643967061
383,53.0,265.0,0.39738562091503266,0.3683996685546246,2.432968825306155
384,12.0,60.0,0.3437908496732026,0.1795188192789456,1.9093101882801438
385,73.0,365.0,0.4522875816993464,0.3377364742704012,2.1006907682317095
386,24.0,120.0,0.26013071895424833,0.1622431545269581,1.832668445984508
387,5.0,25.0,0.6300653594771242,0.16048206897029713,1.7286140529291214
388,10.0,50.0,0.469281045751634,0.16569660436124084,2.3325158518929285
389,96.0,480.0,0.47058823529411764,0.6615391624325219,2.1811668351856826
39,77.0,385.0,0.5620915032679739,0.40363998745002955,1.8545729900294565
390,59.0,295.0,0.49411764705882355,0.46931339225802604,4.442675197537912
391,58.0,290.0,0.49411764705882355,0.471626352005796,1.9888250690000497
392,50.0,250.0,0.4392156862745098,0.3271217492496687,2.008956116335375
393,87.0,435.0,0.3568627450980392,0.30293404771606264,1.7151173983415542
394,38.0,190.0,0.807843137254902,0.45368286058794915,2.979397297512071
395,36.0,180.0,0.48888888888888893,0.27520177358025566,2.8372472888770712
396,81.0,405.0,0.4849673202614379,0.5044331188353675,1.9342991740750657
397,33.0,165.0,0.6405228758169935,0.31809343158364706,2.2684459118341245
398,26.0,130.0,0.26928104575163403,0.1823628557048121,2.6915273628634586
399,22.0,110.0,0.4588235294117647,0.21222181246462696,1.1941460926797607
4,59.0,295.0,0.7477124183006536,0.5233469244487794,3.9785430029203086
40,62.0,310.0,0.8183006535947712,0.6824317025924731,2.196256536252032
400,59.0,295.0,0.3934640522875817,0.28564120792333725,2.0149270253500537
401,31.0,155.0,0.7098039215686275,0.3310390046144686,1.9334875614170886
402,9.0,45.0,0.265359477124183,0.14688947247666095,2.8290083129584254
403,79.0,395.0,0.6209150326797386,0.4340060135786166,2.235365192969918
404,35.0,175.0,0.742483660130719,0.4204760393196629,1.8774712388517458
405,47.0,235.0,0.6274509803921569,0.3417868728517188,2.3693417886919277
406,45.0,225.0,0.3790849673202615,0.2281923236267233,1.206877514583747
407,47.0,235.0,0.29411764705882354,0.21875127687834295,3.252944076720393
408,29.0,145.0,0.43137254901960786,0.22820445950079832,2.7388757986524186
409,8.0,40.0,0.4915032679738562,0.16642051191211218,2.6331989579335415
